;Driver;DriverNumber;LapTime;Stint;IsPersonalBest;Compound;TyreLife;FreshTyre;Team;TrackStatus;Position;Year;EventName
0;GAS;10;0 days 00:01:45.008000;1.0;False;MEDIUM;1.0;True;Red Bull Racing;2;17.0;2019;Australian Grand Prix
1;GAS;10;0 days 00:01:31.585000;1.0;True;MEDIUM;2.0;True;Red Bull Racing;1;16.0;2019;Australian Grand Prix
2;GAS;10;0 days 00:01:31.406000;1.0;True;MEDIUM;3.0;True;Red Bull Racing;1;16.0;2019;Australian Grand Prix
3;GAS;10;0 days 00:01:32.361000;1.0;False;MEDIUM;4.0;True;Red Bull Racing;1;16.0;2019;Australian Grand Prix
4;GAS;10;0 days 00:01:31.171000;1.0;True;MEDIUM;5.0;True;Red Bull Racing;1;16.0;2019;Australian Grand Prix
5;GAS;10;0 days 00:01:31.020000;1.0;True;MEDIUM;6.0;True;Red Bull Racing;1;16.0;2019;Australian Grand Prix
6;GAS;10;0 days 00:01:31.165000;1.0;False;MEDIUM;7.0;True;Red Bull Racing;1;16.0;2019;Australian Grand Prix
7;GAS;10;0 days 00:01:31.434000;1.0;False;MEDIUM;8.0;True;Red Bull Racing;1;16.0;2019;Australian Grand Prix
8;GAS;10;0 days 00:01:31.161000;1.0;False;MEDIUM;9.0;True;Red Bull Racing;1;16.0;2019;Australian Grand Prix
9;GAS;10;0 days 00:01:31.449000;1.0;False;MEDIUM;10.0;True;Red Bull Racing;1;15.0;2019;Australian Grand Prix
10;GAS;10;0 days 00:01:30.129000;1.0;True;MEDIUM;11.0;True;Red Bull Racing;1;15.0;2019;Australian Grand Prix
11;GAS;10;0 days 00:01:30.497000;1.0;False;MEDIUM;12.0;True;Red Bull Racing;1;14.0;2019;Australian Grand Prix
12;GAS;10;0 days 00:01:31.143000;1.0;False;MEDIUM;13.0;True;Red Bull Racing;1;12.0;2019;Australian Grand Prix
13;GAS;10;0 days 00:01:30.303000;1.0;False;MEDIUM;14.0;True;Red Bull Racing;1;10.0;2019;Australian Grand Prix
14;GAS;10;0 days 00:01:29.907000;1.0;True;MEDIUM;15.0;True;Red Bull Racing;1;8.0;2019;Australian Grand Prix
15;GAS;10;0 days 00:01:29.569000;1.0;True;MEDIUM;16.0;True;Red Bull Racing;1;8.0;2019;Australian Grand Prix
16;GAS;10;0 days 00:01:29.830000;1.0;False;MEDIUM;17.0;True;Red Bull Racing;1;8.0;2019;Australian Grand Prix
