;Driver;DriverNumber;LapTime;Stint;IsPersonalBest;Compound;TyreLife;FreshTyre;Team;TrackStatus;Position;Year;EventName
0;GAS;10;0 days 00:02:04.697000;1.0;False;MEDIUM;4.0;False;AlphaTauri;24;6.0;2021;Bahrain Grand Prix
1;GAS;10;0 days 00:02:22.263000;1.0;True;MEDIUM;5.0;False;AlphaTauri;4;5.0;2021;Bahrain Grand Prix
2;GAS;10;;1.0;False;MEDIUM;6.0;False;AlphaTauri;4;5.0;2021;Bahrain Grand Prix
3;GAS;10;0 days 00:02:06.772000;1.0;False;MEDIUM;7.0;False;AlphaTauri;267;18.0;2021;Bahrain Grand Prix
4;GAS;10;0 days 00:02:11.534000;2.0;False;HARD;1.0;True;AlphaTauri;7;19.0;2021;Bahrain Grand Prix
5;GAS;10;0 days 00:01:36.677000;2.0;True;HARD;2.0;True;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
6;GAS;10;0 days 00:01:36.954000;2.0;False;HARD;3.0;True;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
7;GAS;10;0 days 00:01:37.424000;2.0;False;HARD;4.0;True;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
8;GAS;10;0 days 00:01:37.030000;2.0;False;HARD;5.0;True;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
9;GAS;10;0 days 00:01:37.375000;2.0;False;HARD;6.0;True;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
10;GAS;10;0 days 00:01:37.517000;2.0;False;HARD;7.0;True;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
11;GAS;10;0 days 00:01:38.054000;2.0;False;HARD;8.0;True;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
12;GAS;10;0 days 00:01:37.874000;2.0;False;HARD;9.0;True;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
13;GAS;10;0 days 00:01:38.302000;2.0;False;HARD;10.0;True;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
14;GAS;10;0 days 00:01:38.001000;2.0;False;HARD;11.0;True;AlphaTauri;1;17.0;2021;Bahrain Grand Prix
15;GAS;10;0 days 00:01:37.993000;2.0;False;HARD;12.0;True;AlphaTauri;1;17.0;2021;Bahrain Grand Prix
16;GAS;10;0 days 00:01:38.415000;2.0;False;HARD;13.0;True;AlphaTauri;1;17.0;2021;Bahrain Grand Prix
17;GAS;10;0 days 00:01:39.272000;2.0;False;HARD;14.0;True;AlphaTauri;1;18.0;2021;Bahrain Grand Prix
18;GAS;10;0 days 00:01:40.838000;2.0;False;HARD;15.0;True;AlphaTauri;1;18.0;2021;Bahrain Grand Prix
19;GAS;10;0 days 00:01:59.290000;3.0;False;MEDIUM;4.0;False;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
20;GAS;10;0 days 00:01:36.483000;3.0;True;MEDIUM;5.0;False;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
21;GAS;10;0 days 00:01:36.475000;3.0;True;MEDIUM;6.0;False;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
22;GAS;10;0 days 00:01:36.421000;3.0;True;MEDIUM;7.0;False;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
23;GAS;10;0 days 00:01:36.519000;3.0;False;MEDIUM;8.0;False;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
24;GAS;10;0 days 00:01:36.472000;3.0;False;MEDIUM;9.0;False;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
25;GAS;10;0 days 00:01:36.890000;3.0;False;MEDIUM;10.0;False;AlphaTauri;1;19.0;2021;Bahrain Grand Prix
26;GAS;10;0 days 00:01:36.394000;3.0;True;MEDIUM;11.0;False;AlphaTauri;1;18.0;2021;Bahrain Grand Prix
27;GAS;10;0 days 00:01:36.512000;3.0;False;MEDIUM;12.0;False;AlphaTauri;1;18.0;2021;Bahrain Grand Prix
28;GAS;10;0 days 00:01:36.217000;3.0;True;MEDIUM;13.0;False;AlphaTauri;1;18.0;2021;Bahrain Grand Prix
29;GAS;10;0 days 00:01:36.061000;3.0;True;MEDIUM;14.0;False;AlphaTauri;1;18.0;2021;Bahrain Grand Prix
30;GAS;10;0 days 00:01:36.185000;3.0;False;MEDIUM;15.0;False;AlphaTauri;1;18.0;2021;Bahrain Grand Prix
31;GAS;10;0 days 00:01:36.452000;3.0;False;MEDIUM;16.0;False;AlphaTauri;1;18.0;2021;Bahrain Grand Prix
32;GAS;10;0 days 00:01:36.357000;3.0;False;MEDIUM;17.0;False;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
33;GAS;10;0 days 00:01:36.689000;3.0;False;MEDIUM;18.0;False;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
34;GAS;10;0 days 00:01:38.745000;3.0;False;MEDIUM;19.0;False;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
35;GAS;10;0 days 00:01:36.891000;3.0;False;MEDIUM;20.0;False;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
36;GAS;10;0 days 00:01:36.736000;3.0;False;MEDIUM;21.0;False;AlphaTauri;1;15.0;2021;Bahrain Grand Prix
37;GAS;10;0 days 00:01:36.928000;3.0;False;MEDIUM;22.0;False;AlphaTauri;1;15.0;2021;Bahrain Grand Prix
38;GAS;10;0 days 00:01:39.587000;3.0;False;MEDIUM;23.0;False;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
39;GAS;10;0 days 00:01:56.887000;4.0;False;HARD;1.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
40;GAS;10;0 days 00:01:34.560000;4.0;True;HARD;2.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
41;GAS;10;0 days 00:01:34.349000;4.0;True;HARD;3.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
42;GAS;10;0 days 00:01:34.303000;4.0;True;HARD;4.0;True;AlphaTauri;2;16.0;2021;Bahrain Grand Prix
43;GAS;10;0 days 00:01:34.978000;4.0;False;HARD;5.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
44;GAS;10;0 days 00:01:34.692000;4.0;False;HARD;6.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
45;GAS;10;0 days 00:01:34.230000;4.0;True;HARD;7.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
46;GAS;10;0 days 00:01:34.243000;4.0;False;HARD;8.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
47;GAS;10;0 days 00:01:34.090000;4.0;True;HARD;9.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
48;GAS;10;0 days 00:01:34.281000;4.0;False;HARD;10.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
49;GAS;10;0 days 00:01:34.346000;4.0;False;HARD;11.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
50;GAS;10;0 days 00:01:34.950000;4.0;False;HARD;12.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
51;GAS;10;0 days 00:01:38.051000;4.0;False;HARD;13.0;True;AlphaTauri;1;16.0;2021;Bahrain Grand Prix
52;PER;11;0 days 00:02:27.951000;2.0;False;MEDIUM;4.0;False;Red Bull Racing;24;20.0;2021;Bahrain Grand Prix
53;PER;11;0 days 00:02:20.666000;2.0;False;MEDIUM;5.0;False;Red Bull Racing;4;19.0;2021;Bahrain Grand Prix
54;PER;11;0 days 00:02:15.246000;3.0;False;HARD;1.0;True;Red Bull Racing;4;19.0;2021;Bahrain Grand Prix
55;PER;11;0 days 00:01:58.724000;3.0;True;HARD;2.0;True;Red Bull Racing;26;15.0;2021;Bahrain Grand Prix
56;PER;11;0 days 00:01:40.010000;3.0;True;HARD;3.0;True;Red Bull Racing;67;15.0;2021;Bahrain Grand Prix
57;PER;11;0 days 00:01:37.480000;3.0;True;HARD;4.0;True;Red Bull Racing;1;14.0;2021;Bahrain Grand Prix
58;PER;11;0 days 00:01:37.891000;3.0;False;HARD;5.0;True;Red Bull Racing;1;14.0;2021;Bahrain Grand Prix
59;PER;11;0 days 00:01:37.134000;3.0;True;HARD;6.0;True;Red Bull Racing;1;13.0;2021;Bahrain Grand Prix
60;PER;11;0 days 00:01:37.381000;3.0;False;HARD;7.0;True;Red Bull Racing;1;13.0;2021;Bahrain Grand Prix
61;PER;11;0 days 00:01:36.788000;3.0;True;HARD;8.0;True;Red Bull Racing;1;12.0;2021;Bahrain Grand Prix
62;PER;11;0 days 00:01:37.837000;3.0;False;HARD;9.0;True;Red Bull Racing;1;12.0;2021;Bahrain Grand Prix
63;PER;11;0 days 00:01:37.988000;3.0;False;HARD;10.0;True;Red Bull Racing;1;10.0;2021;Bahrain Grand Prix
64;PER;11;0 days 00:01:36.949000;3.0;False;HARD;11.0;True;Red Bull Racing;1;6.0;2021;Bahrain Grand Prix
65;PER;11;0 days 00:01:36.870000;3.0;False;HARD;12.0;True;Red Bull Racing;1;5.0;2021;Bahrain Grand Prix
66;PER;11;0 days 00:01:36.853000;3.0;False;HARD;13.0;True;Red Bull Racing;1;4.0;2021;Bahrain Grand Prix
67;PER;11;0 days 00:01:36.526000;3.0;True;HARD;14.0;True;Red Bull Racing;1;4.0;2021;Bahrain Grand Prix
68;PER;11;0 days 00:01:37.062000;3.0;False;HARD;15.0;True;Red Bull Racing;1;3.0;2021;Bahrain Grand Prix
69;PER;11;0 days 00:01:38.124000;3.0;False;HARD;16.0;True;Red Bull Racing;1;4.0;2021;Bahrain Grand Prix
70;PER;11;0 days 00:01:39.720000;3.0;False;HARD;17.0;True;Red Bull Racing;1;4.0;2021;Bahrain Grand Prix
71;PER;11;0 days 00:01:56.512000;3.0;False;HARD;18.0;True;Red Bull Racing;1;12.0;2021;Bahrain Grand Prix
72;PER;11;0 days 00:01:35.721000;3.0;True;HARD;19.0;True;Red Bull Racing;1;9.0;2021;Bahrain Grand Prix
73;PER;11;0 days 00:01:35.633000;3.0;True;HARD;20.0;True;Red Bull Racing;1;9.0;2021;Bahrain Grand Prix
74;PER;11;0 days 00:01:35.807000;3.0;False;HARD;21.0;True;Red Bull Racing;1;9.0;2021;Bahrain Grand Prix
75;PER;11;0 days 00:01:35.964000;3.0;False;HARD;22.0;True;Red Bull Racing;1;9.0;2021;Bahrain Grand Prix
76;PER;11;0 days 00:01:35.526000;3.0;True;HARD;23.0;True;Red Bull Racing;1;8.0;2021;Bahrain Grand Prix
77;PER;11;0 days 00:01:36.592000;3.0;False;HARD;24.0;True;Red Bull Racing;1;8.0;2021;Bahrain Grand Prix
78;PER;11;0 days 00:01:35.221000;3.0;True;HARD;25.0;True;Red Bull Racing;1;7.0;2021;Bahrain Grand Prix
79;PER;11;0 days 00:01:35.488000;3.0;False;HARD;26.0;True;Red Bull Racing;1;7.0;2021;Bahrain Grand Prix
80;PER;11;0 days 00:01:35.877000;3.0;False;HARD;27.0;True;Red Bull Racing;1;7.0;2021;Bahrain Grand Prix
81;PER;11;0 days 00:01:35.713000;3.0;False;HARD;28.0;True;Red Bull Racing;1;7.0;2021;Bahrain Grand Prix
82;PER;11;0 days 00:01:36.302000;3.0;False;HARD;29.0;True;Red Bull Racing;1;7.0;2021;Bahrain Grand Prix
83;PER;11;0 days 00:01:35.458000;3.0;False;HARD;30.0;True;Red Bull Racing;1;6.0;2021;Bahrain Grand Prix
84;PER;11;0 days 00:01:36.547000;3.0;False;HARD;31.0;True;Red Bull Racing;1;5.0;2021;Bahrain Grand Prix
85;PER;11;0 days 00:01:35.796000;3.0;False;HARD;32.0;True;Red Bull Racing;1;4.0;2021;Bahrain Grand Prix
86;PER;11;0 days 00:01:36.056000;3.0;False;HARD;33.0;True;Red Bull Racing;1;4.0;2021;Bahrain Grand Prix
87;PER;11;0 days 00:01:35.970000;3.0;False;HARD;34.0;True;Red Bull Racing;1;4.0;2021;Bahrain Grand Prix
88;PER;11;0 days 00:01:35.987000;3.0;False;HARD;35.0;True;Red Bull Racing;1;4.0;2021;Bahrain Grand Prix
89;PER;11;0 days 00:01:38.802000;3.0;False;HARD;36.0;True;Red Bull Racing;1;4.0;2021;Bahrain Grand Prix
90;PER;11;0 days 00:01:56.750000;4.0;False;MEDIUM;6.0;False;Red Bull Racing;1;8.0;2021;Bahrain Grand Prix
91;PER;11;0 days 00:01:34.518000;4.0;True;MEDIUM;7.0;False;Red Bull Racing;1;7.0;2021;Bahrain Grand Prix
92;PER;11;0 days 00:01:34.263000;4.0;True;MEDIUM;8.0;False;Red Bull Racing;1;7.0;2021;Bahrain Grand Prix
93;PER;11;0 days 00:01:34.265000;4.0;False;MEDIUM;9.0;False;Red Bull Racing;1;7.0;2021;Bahrain Grand Prix
94;PER;11;0 days 00:01:34.449000;4.0;False;MEDIUM;10.0;False;Red Bull Racing;1;7.0;2021;Bahrain Grand Prix
95;PER;11;0 days 00:01:33.970000;4.0;True;MEDIUM;11.0;False;Red Bull Racing;2;6.0;2021;Bahrain Grand Prix
96;PER;11;0 days 00:01:34.542000;4.0;False;MEDIUM;12.0;False;Red Bull Racing;1;6.0;2021;Bahrain Grand Prix
97;PER;11;0 days 00:01:34.709000;4.0;False;MEDIUM;13.0;False;Red Bull Racing;1;6.0;2021;Bahrain Grand Prix
98;PER;11;0 days 00:01:34.634000;4.0;False;MEDIUM;14.0;False;Red Bull Racing;1;6.0;2021;Bahrain Grand Prix
99;PER;11;0 days 00:01:34.167000;4.0;False;MEDIUM;15.0;False;Red Bull Racing;1;6.0;2021;Bahrain Grand Prix
100;PER;11;0 days 00:01:34.665000;4.0;False;MEDIUM;16.0;False;Red Bull Racing;1;6.0;2021;Bahrain Grand Prix
101;PER;11;0 days 00:01:34.241000;4.0;False;MEDIUM;17.0;False;Red Bull Racing;1;6.0;2021;Bahrain Grand Prix
102;PER;11;0 days 00:01:34.340000;4.0;False;MEDIUM;18.0;False;Red Bull Racing;1;6.0;2021;Bahrain Grand Prix
103;PER;11;0 days 00:01:35.320000;4.0;False;MEDIUM;19.0;False;Red Bull Racing;1;5.0;2021;Bahrain Grand Prix
104;PER;11;0 days 00:01:34.546000;4.0;False;MEDIUM;20.0;False;Red Bull Racing;1;5.0;2021;Bahrain Grand Prix
105;PER;11;0 days 00:01:34.892000;4.0;False;MEDIUM;21.0;False;Red Bull Racing;1;5.0;2021;Bahrain Grand Prix
106;PER;11;0 days 00:01:34.746000;4.0;False;MEDIUM;22.0;False;Red Bull Racing;1;5.0;2021;Bahrain Grand Prix
107;PER;11;0 days 00:01:34.755000;4.0;False;MEDIUM;23.0;False;Red Bull Racing;1;5.0;2021;Bahrain Grand Prix
108;ALO;14;0 days 00:02:10.373000;1.0;False;SOFT;4.0;False;Alpine;24;9.0;2021;Bahrain Grand Prix
109;ALO;14;0 days 00:02:19.776000;1.0;True;SOFT;5.0;False;Alpine;4;8.0;2021;Bahrain Grand Prix
110;ALO;14;;1.0;False;SOFT;6.0;False;Alpine;4;8.0;2021;Bahrain Grand Prix
111;ALO;14;0 days 00:01:52.313000;1.0;True;SOFT;7.0;False;Alpine;26;7.0;2021;Bahrain Grand Prix
112;ALO;14;0 days 00:01:40.858000;1.0;True;SOFT;8.0;False;Alpine;67;7.0;2021;Bahrain Grand Prix
113;ALO;14;0 days 00:01:37.652000;1.0;True;SOFT;9.0;False;Alpine;1;7.0;2021;Bahrain Grand Prix
114;ALO;14;0 days 00:01:37.366000;1.0;True;SOFT;10.0;False;Alpine;1;7.0;2021;Bahrain Grand Prix
115;ALO;14;0 days 00:01:38.006000;1.0;False;SOFT;11.0;False;Alpine;1;7.0;2021;Bahrain Grand Prix
116;ALO;14;0 days 00:01:39.062000;1.0;False;SOFT;12.0;False;Alpine;1;8.0;2021;Bahrain Grand Prix
117;ALO;14;0 days 00:01:37.758000;1.0;False;SOFT;13.0;False;Alpine;1;8.0;2021;Bahrain Grand Prix
118;ALO;14;0 days 00:01:40.308000;1.0;False;SOFT;14.0;False;Alpine;1;9.0;2021;Bahrain Grand Prix
119;ALO;14;0 days 00:01:56.122000;2.0;False;MEDIUM;1.0;True;Alpine;1;17.0;2021;Bahrain Grand Prix
120;ALO;14;0 days 00:01:36.844000;2.0;True;MEDIUM;2.0;True;Alpine;1;15.0;2021;Bahrain Grand Prix
121;ALO;14;0 days 00:01:37.143000;2.0;False;MEDIUM;3.0;True;Alpine;1;10.0;2021;Bahrain Grand Prix
122;ALO;14;0 days 00:01:37.447000;2.0;False;MEDIUM;4.0;True;Alpine;1;11.0;2021;Bahrain Grand Prix
123;ALO;14;0 days 00:01:37.183000;2.0;False;MEDIUM;5.0;True;Alpine;1;9.0;2021;Bahrain Grand Prix
124;ALO;14;0 days 00:01:37.797000;2.0;False;MEDIUM;6.0;True;Alpine;1;10.0;2021;Bahrain Grand Prix
125;ALO;14;0 days 00:01:36.984000;2.0;False;MEDIUM;7.0;True;Alpine;1;10.0;2021;Bahrain Grand Prix
126;ALO;14;0 days 00:01:37.506000;2.0;False;MEDIUM;8.0;True;Alpine;1;10.0;2021;Bahrain Grand Prix
127;ALO;14;0 days 00:01:39.078000;2.0;False;MEDIUM;9.0;True;Alpine;1;9.0;2021;Bahrain Grand Prix
128;ALO;14;0 days 00:01:40.090000;2.0;False;MEDIUM;10.0;True;Alpine;1;11.0;2021;Bahrain Grand Prix
129;ALO;14;0 days 00:01:37.759000;2.0;False;MEDIUM;11.0;True;Alpine;1;10.0;2021;Bahrain Grand Prix
130;ALO;14;0 days 00:01:38.377000;2.0;False;MEDIUM;12.0;True;Alpine;1;11.0;2021;Bahrain Grand Prix
131;ALO;14;0 days 00:01:37.604000;2.0;False;MEDIUM;13.0;True;Alpine;1;11.0;2021;Bahrain Grand Prix
132;ALO;14;0 days 00:01:37.596000;2.0;False;MEDIUM;14.0;True;Alpine;1;11.0;2021;Bahrain Grand Prix
133;ALO;14;0 days 00:01:38.758000;2.0;False;MEDIUM;15.0;True;Alpine;1;12.0;2021;Bahrain Grand Prix
134;ALO;14;0 days 00:01:37.447000;2.0;False;MEDIUM;16.0;True;Alpine;1;12.0;2021;Bahrain Grand Prix
135;ALO;14;0 days 00:01:37.791000;2.0;False;MEDIUM;17.0;True;Alpine;1;12.0;2021;Bahrain Grand Prix
136;ALO;14;0 days 00:01:40.108000;2.0;False;MEDIUM;18.0;True;Alpine;1;12.0;2021;Bahrain Grand Prix
137;ALO;14;0 days 00:01:57.522000;3.0;False;HARD;1.0;True;Alpine;1;17.0;2021;Bahrain Grand Prix
138;ALO;14;0 days 00:01:36.063000;3.0;True;HARD;2.0;True;Alpine;1;15.0;2021;Bahrain Grand Prix
139;ALO;14;0 days 00:01:42.313000;3.0;False;HARD;3.0;True;Alpine;1;16.0;2021;Bahrain Grand Prix
140;LEC;16;0 days 00:02:02.698000;1.0;False;SOFT;4.0;False;Ferrari;24;4.0;2021;Bahrain Grand Prix
141;LEC;16;0 days 00:02:21.183000;1.0;True;SOFT;5.0;False;Ferrari;4;3.0;2021;Bahrain Grand Prix
142;LEC;16;;1.0;False;SOFT;6.0;False;Ferrari;4;3.0;2021;Bahrain Grand Prix
143;LEC;16;0 days 00:01:46.103000;1.0;True;SOFT;7.0;False;Ferrari;26;3.0;2021;Bahrain Grand Prix
144;LEC;16;0 days 00:01:45.543000;1.0;True;SOFT;8.0;False;Ferrari;67;3.0;2021;Bahrain Grand Prix
145;LEC;16;0 days 00:01:38.294000;1.0;True;SOFT;9.0;False;Ferrari;1;4.0;2021;Bahrain Grand Prix
146;LEC;16;0 days 00:01:37.148000;1.0;True;SOFT;10.0;False;Ferrari;1;4.0;2021;Bahrain Grand Prix
147;LEC;16;0 days 00:01:37.886000;1.0;False;SOFT;11.0;False;Ferrari;1;4.0;2021;Bahrain Grand Prix
148;LEC;16;0 days 00:01:38.667000;1.0;False;SOFT;12.0;False;Ferrari;1;5.0;2021;Bahrain Grand Prix
149;LEC;16;0 days 00:01:37.518000;1.0;False;SOFT;13.0;False;Ferrari;1;5.0;2021;Bahrain Grand Prix
150;LEC;16;0 days 00:01:37.729000;1.0;False;SOFT;14.0;False;Ferrari;1;5.0;2021;Bahrain Grand Prix
151;LEC;16;0 days 00:01:40.477000;1.0;False;SOFT;15.0;False;Ferrari;1;6.0;2021;Bahrain Grand Prix
152;LEC;16;0 days 00:01:56.773000;2.0;False;MEDIUM;1.0;True;Ferrari;1;14.0;2021;Bahrain Grand Prix
153;LEC;16;0 days 00:01:35.552000;2.0;True;MEDIUM;2.0;True;Ferrari;1;9.0;2021;Bahrain Grand Prix
154;LEC;16;0 days 00:01:35.955000;2.0;False;MEDIUM;3.0;True;Ferrari;1;9.0;2021;Bahrain Grand Prix
155;LEC;16;0 days 00:01:36.415000;2.0;False;MEDIUM;4.0;True;Ferrari;1;6.0;2021;Bahrain Grand Prix
156;LEC;16;0 days 00:01:36.936000;2.0;False;MEDIUM;5.0;True;Ferrari;1;6.0;2021;Bahrain Grand Prix
157;LEC;16;0 days 00:01:36.432000;2.0;False;MEDIUM;6.0;True;Ferrari;1;6.0;2021;Bahrain Grand Prix
158;LEC;16;0 days 00:01:36.289000;2.0;False;MEDIUM;7.0;True;Ferrari;1;6.0;2021;Bahrain Grand Prix
159;LEC;16;0 days 00:01:36.603000;2.0;False;MEDIUM;8.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
160;LEC;16;0 days 00:01:36.721000;2.0;False;MEDIUM;9.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
161;LEC;16;0 days 00:01:36.457000;2.0;False;MEDIUM;10.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
162;LEC;16;0 days 00:01:36.195000;2.0;False;MEDIUM;11.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
163;LEC;16;0 days 00:01:36.338000;2.0;False;MEDIUM;12.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
164;LEC;16;0 days 00:01:36.428000;2.0;False;MEDIUM;13.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
165;LEC;16;0 days 00:01:36.406000;2.0;False;MEDIUM;14.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
166;LEC;16;0 days 00:01:36.616000;2.0;False;MEDIUM;15.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
167;LEC;16;0 days 00:01:36.555000;2.0;False;MEDIUM;16.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
168;LEC;16;0 days 00:01:37.096000;2.0;False;MEDIUM;17.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
169;LEC;16;0 days 00:01:36.871000;2.0;False;MEDIUM;18.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
170;LEC;16;0 days 00:01:37.108000;2.0;False;MEDIUM;19.0;True;Ferrari;1;4.0;2021;Bahrain Grand Prix
171;LEC;16;0 days 00:01:39.973000;2.0;False;MEDIUM;20.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
172;LEC;16;0 days 00:01:55.256000;3.0;False;HARD;1.0;True;Ferrari;1;7.0;2021;Bahrain Grand Prix
173;LEC;16;0 days 00:01:35.096000;3.0;True;HARD;2.0;True;Ferrari;1;7.0;2021;Bahrain Grand Prix
174;LEC;16;0 days 00:01:35.141000;3.0;False;HARD;3.0;True;Ferrari;1;7.0;2021;Bahrain Grand Prix
175;LEC;16;0 days 00:01:35.055000;3.0;True;HARD;4.0;True;Ferrari;1;7.0;2021;Bahrain Grand Prix
176;LEC;16;0 days 00:01:35.020000;3.0;True;HARD;5.0;True;Ferrari;1;7.0;2021;Bahrain Grand Prix
177;LEC;16;0 days 00:01:35.264000;3.0;False;HARD;6.0;True;Ferrari;1;6.0;2021;Bahrain Grand Prix
178;LEC;16;0 days 00:01:34.988000;3.0;True;HARD;7.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
179;LEC;16;0 days 00:01:35.118000;3.0;False;HARD;8.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
180;LEC;16;0 days 00:01:35.041000;3.0;False;HARD;9.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
181;LEC;16;0 days 00:01:35.284000;3.0;False;HARD;10.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
182;LEC;16;0 days 00:01:35.168000;3.0;False;HARD;11.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
183;LEC;16;0 days 00:01:35.294000;3.0;False;HARD;12.0;True;Ferrari;2;5.0;2021;Bahrain Grand Prix
184;LEC;16;0 days 00:01:35.373000;3.0;False;HARD;13.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
185;LEC;16;0 days 00:01:35.287000;3.0;False;HARD;14.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
186;LEC;16;0 days 00:01:35.381000;3.0;False;HARD;15.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
187;LEC;16;0 days 00:01:35.153000;3.0;False;HARD;16.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
188;LEC;16;0 days 00:01:35.419000;3.0;False;HARD;17.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
189;LEC;16;0 days 00:01:35.067000;3.0;False;HARD;18.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
190;LEC;16;0 days 00:01:35.546000;3.0;False;HARD;19.0;True;Ferrari;1;5.0;2021;Bahrain Grand Prix
191;LEC;16;0 days 00:01:37.113000;3.0;False;HARD;20.0;True;Ferrari;1;6.0;2021;Bahrain Grand Prix
192;LEC;16;0 days 00:01:35.684000;3.0;False;HARD;21.0;True;Ferrari;1;6.0;2021;Bahrain Grand Prix
193;LEC;16;0 days 00:01:35.945000;3.0;False;HARD;22.0;True;Ferrari;1;6.0;2021;Bahrain Grand Prix
194;LEC;16;0 days 00:01:36.190000;3.0;False;HARD;23.0;True;Ferrari;1;6.0;2021;Bahrain Grand Prix
195;LEC;16;0 days 00:01:36.951000;3.0;False;HARD;24.0;True;Ferrari;1;6.0;2021;Bahrain Grand Prix
196;STR;18;0 days 00:02:12.396000;1.0;False;SOFT;4.0;False;Aston Martin;24;10.0;2021;Bahrain Grand Prix
197;STR;18;0 days 00:02:19.603000;1.0;True;SOFT;5.0;False;Aston Martin;4;9.0;2021;Bahrain Grand Prix
198;STR;18;0 days 00:02:29.035000;1.0;False;SOFT;6.0;False;Aston Martin;4;9.0;2021;Bahrain Grand Prix
199;STR;18;0 days 00:01:52.919000;1.0;True;SOFT;7.0;False;Aston Martin;26;8.0;2021;Bahrain Grand Prix
200;STR;18;0 days 00:01:41.463000;1.0;True;SOFT;8.0;False;Aston Martin;67;8.0;2021;Bahrain Grand Prix
201;STR;18;0 days 00:01:37.046000;1.0;True;SOFT;9.0;False;Aston Martin;1;8.0;2021;Bahrain Grand Prix
202;STR;18;0 days 00:01:37.209000;1.0;False;SOFT;10.0;False;Aston Martin;1;8.0;2021;Bahrain Grand Prix
203;STR;18;0 days 00:01:37.700000;1.0;False;SOFT;11.0;False;Aston Martin;1;8.0;2021;Bahrain Grand Prix
204;STR;18;0 days 00:01:37.797000;1.0;False;SOFT;12.0;False;Aston Martin;1;7.0;2021;Bahrain Grand Prix
205;STR;18;0 days 00:01:37.614000;1.0;False;SOFT;13.0;False;Aston Martin;1;7.0;2021;Bahrain Grand Prix
206;STR;18;0 days 00:01:37.536000;1.0;False;SOFT;14.0;False;Aston Martin;1;7.0;2021;Bahrain Grand Prix
