;Driver;DriverNumber;LapTime;Stint;IsPersonalBest;Compound;TyreLife;FreshTyre;Team;TrackStatus;Position;Year;EventName
0;GAS;10;0 days 00:01:45.060000;;False;nan;;True;Toro Rosso;1;17.0;2018;Australian Grand Prix
1;GAS;10;0 days 00:01:33.372000;1.0;True;ULTRASOFT;1.0;True;Toro Rosso;1;17.0;2018;Australian Grand Prix
2;GAS;10;0 days 00:01:32.861000;1.0;True;ULTRASOFT;2.0;True;Toro Rosso;1;17.0;2018;Australian Grand Prix
3;GAS;10;0 days 00:01:32.184000;1.0;True;ULTRASOFT;3.0;True;Toro Rosso;1;17.0;2018;Australian Grand Prix
4;GAS;10;0 days 00:01:32.332000;1.0;False;ULTRASOFT;4.0;True;Toro Rosso;2;17.0;2018;Australian Grand Prix
5;GAS;10;0 days 00:01:38.180000;1.0;False;ULTRASOFT;5.0;True;Toro Rosso;2;16.0;2018;Australian Grand Prix
6;GAS;10;0 days 00:01:31.537000;1.0;True;ULTRASOFT;6.0;True;Toro Rosso;2;16.0;2018;Australian Grand Prix
7;GAS;10;0 days 00:01:31.319000;1.0;True;ULTRASOFT;7.0;True;Toro Rosso;1;16.0;2018;Australian Grand Prix
8;GAS;10;0 days 00:01:31.141000;1.0;True;ULTRASOFT;8.0;True;Toro Rosso;2;16.0;2018;Australian Grand Prix
9;GAS;10;0 days 00:01:31.136000;1.0;True;ULTRASOFT;9.0;True;Toro Rosso;1;16.0;2018;Australian Grand Prix
10;GAS;10;0 days 00:01:30.937000;1.0;True;ULTRASOFT;10.0;True;Toro Rosso;1;16.0;2018;Australian Grand Prix
11;GAS;10;0 days 00:01:30.743000;1.0;True;ULTRASOFT;11.0;True;Toro Rosso;1;16.0;2018;Australian Grand Prix
12;GAS;10;0 days 00:01:30.649000;1.0;True;ULTRASOFT;12.0;True;Toro Rosso;1;16.0;2018;Australian Grand Prix
13;GAS;10;;1.0;False;ULTRASOFT;13.0;True;Toro Rosso;1;18.0;2018;Australian Grand Prix
14;PER;11;0 days 00:01:42.341000;;False;nan;;True;Force India;1;12.0;2018;Australian Grand Prix
15;PER;11;0 days 00:01:32.896000;1.0;True;ULTRASOFT;1.0;True;Force India;1;12.0;2018;Australian Grand Prix
16;PER;11;0 days 00:01:32.004000;1.0;True;ULTRASOFT;2.0;True;Force India;1;12.0;2018;Australian Grand Prix
