;Driver;DriverNumber;LapTime;Stint;IsPersonalBest;Compound;TyreLife;FreshTyre;Team;TrackStatus;Position;Year;EventName
0;VER;1;0 days 00:01:40.236000;1.0;False;SOFT;4.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
1;VER;1;0 days 00:01:37.880000;1.0;True;SOFT;5.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
2;VER;1;0 days 00:01:38.357000;1.0;False;SOFT;6.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
3;VER;1;0 days 00:01:38.566000;1.0;False;SOFT;7.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
4;VER;1;0 days 00:01:38.877000;1.0;False;SOFT;8.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
5;VER;1;0 days 00:01:38.940000;1.0;False;SOFT;9.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
6;VER;1;0 days 00:01:39.062000;1.0;False;SOFT;10.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
7;VER;1;0 days 00:01:39.092000;1.0;False;SOFT;11.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
8;VER;1;0 days 00:01:39.251000;1.0;False;SOFT;12.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
9;VER;1;0 days 00:01:39.392000;1.0;False;SOFT;13.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
10;VER;1;0 days 00:01:39.479000;1.0;False;SOFT;14.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
11;VER;1;0 days 00:01:39.410000;1.0;False;SOFT;15.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
12;VER;1;0 days 00:01:39.534000;1.0;False;SOFT;16.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
13;VER;1;0 days 00:01:42.050000;1.0;False;SOFT;17.0;False;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
14;VER;1;0 days 00:01:57.409000;2.0;False;SOFT;1.0;True;Red Bull Racing;2;4.0;2022;Bahrain Grand Prix
15;VER;1;0 days 00:01:36.905000;2.0;True;SOFT;2.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
16;VER;1;0 days 00:01:37.587000;2.0;False;SOFT;3.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
17;VER;1;0 days 00:01:37.717000;2.0;False;SOFT;4.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
18;VER;1;0 days 00:01:37.728000;2.0;False;SOFT;5.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
19;VER;1;0 days 00:01:38.257000;2.0;False;SOFT;6.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
20;VER;1;0 days 00:01:38.294000;2.0;False;SOFT;7.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
21;VER;1;0 days 00:01:38.243000;2.0;False;SOFT;8.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
22;VER;1;0 days 00:01:38.091000;2.0;False;SOFT;9.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
23;VER;1;0 days 00:01:38.187000;2.0;False;SOFT;10.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
24;VER;1;0 days 00:01:38.372000;2.0;False;SOFT;11.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
25;VER;1;0 days 00:01:38.476000;2.0;False;SOFT;12.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
26;VER;1;0 days 00:01:38.823000;2.0;False;SOFT;13.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
27;VER;1;0 days 00:01:38.782000;2.0;False;SOFT;14.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
28;VER;1;0 days 00:01:39.384000;2.0;False;SOFT;15.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
29;VER;1;0 days 00:01:41.537000;2.0;False;SOFT;16.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
30;VER;1;0 days 00:01:57.239000;3.0;False;MEDIUM;1.0;True;Red Bull Racing;1;4.0;2022;Bahrain Grand Prix
31;VER;1;0 days 00:01:36.527000;3.0;True;MEDIUM;2.0;True;Red Bull Racing;1;4.0;2022;Bahrain Grand Prix
32;VER;1;0 days 00:01:36.347000;3.0;True;MEDIUM;3.0;True;Red Bull Racing;1;4.0;2022;Bahrain Grand Prix
33;VER;1;0 days 00:01:36.384000;3.0;False;MEDIUM;4.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
34;VER;1;0 days 00:01:36.731000;3.0;False;MEDIUM;5.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
35;VER;1;0 days 00:01:36.920000;3.0;False;MEDIUM;6.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
36;VER;1;0 days 00:01:36.962000;3.0;False;MEDIUM;7.0;True;Red Bull Racing;1;2.0;2022;Bahrain Grand Prix
