Position;Driver;Team;Points
1;VER;Red Bull Racing;575
2;PER;Red Bull Racing;285
3;HAM;Mercedes;234
4;ALO;Aston Martin;206
5;LEC;Ferrari;206
6;NOR;McLaren;205
7;SAI;Ferrari;200
8;RUS;Mercedes;175
9;PIA;McLaren;97
10;STR;Aston Martin;74
11;GAS;Alpine;62
12;OCO;Alpine;58
13;ALB;Williams;27
14;TSU;AlphaTauri;17
15;BOT;Sauber;10
16;HUL;Haas;9
17;RIC;AlphaTauri;6
18;ZHO;Sauber;6
19;MAG;Haas;3
20;LAW;AlphaTauri;2
21;SAR;Williams;1
22;DEV;AlphaTauri;0
