Position;Driver;Team;Points
1;VER;Red Bull Racing;454
2;LEC;Ferrari;308
3;PER;Red Bull Racing;305
4;RUS;Mercedes;275
5;SAI;Ferrari;246
6;HAM;Mercedes;240
7;NOR;McLaren;122
8;OCO;Alpine;92
9;ALO;Alpine;81
10;BOT;Sauber;49
11;RIC;McLaren;37
12;VET;Aston Martin;37
13;MAG;Haas;25
14;GAS;AlphaTauri;23
15;STR;Aston Martin;18
16;MSC;Haas;12
17;TSU;AlphaTauri;12
18;ZHO;Sauber;6
19;ALB;Williams;2
20;LAT;Williams;2
21;DEV;Williams;2
22;HUL;Aston Martin;0
