Position;Driver;Team;Points
1;VER;Red Bull Racing;395.5
2;HAM;Mercedes;387.5
3;BOT;Mercedes;226
4;PER;Red Bull Racing;190
5;SAI;Ferrari;164.5
6;NOR;McLaren;160
7;LEC;Ferrari;159
8;RIC;McLaren;115
9;GAS;AlphaTauri;110
10;ALO;Alpine;81
11;OCO;Alpine;74
12;VET;Aston Martin;43
13;STR;Aston Martin;34
14;TSU;AlphaTauri;32
15;RUS;Williams;16
16;RAI;Sauber;10
17;LAT;Williams;7
18;GIO;Sauber;3
19;MSC;Haas;0
20;KUB;Sauber;0
21;MAZ;Haas;0
