Position;Driver;Team;Points
1;HAM;Mercedes;413
2;BOT;Mercedes;326
3;VER;Red Bull Racing;278
4;LEC;Ferrari;264
5;VET;Ferrari;240
6;SAI;McLaren;96
7;GAS;AlphaTauri;95
8;ALB;Red Bull Racing;92
9;RIC;Alpine;54
10;PER;Aston Martin;52
11;NOR;McLaren;49
12;RAI;Sauber;43
13;KVY;AlphaTauri;37
14;HUL;Alpine;37
15;STR;Aston Martin;21
16;MAG;Haas;20
17;GIO;Sauber;14
18;GRO;Haas;8
19;KUB;Williams;1
20;RUS;Williams;0
