Position;Driver;Team;Points
1;HAM;Mercedes;347
2;BOT;Mercedes;223
3;VER;Red Bull Racing;214
4;PER;Aston Martin;125
5;RIC;Alpine;119
6;SAI;McLaren;105
7;ALB;Red Bull Racing;105
8;LEC;Ferrari;98
9;NOR;McLaren;97
10;GAS;AlphaTauri;75
11;STR;Aston Martin;75
12;OCO;Alpine;62
13;VET;Ferrari;33
14;KVY;AlphaTauri;32
15;HUL;Aston Martin;10
16;RAI;Sauber;4
17;GIO;Sauber;4
18;RUS;Williams;3
19;GRO;Haas;2
20;MAG;Haas;1
21;LAT;Williams;0
22;AIT;WIlliams;0
23;FIT;Haas;0
